state,revenue
SP,5937894.439999964
RJ,2133593.5299999914
MG,1859100.1899999941
RS,887477.0400000016
PR,802491.1499999997
BA,612153.5100000013
SC,611067.1300000004
DF,354268.6899999999
GO,349244.5199999999
ES,325330.0600000003
