category_en,revenue
health_beauty,1442591.5799999968
watches_gifts,1305899.000000007
bed_bath_table,1251537.8600000031
sports_leisure,1159837.0999999994
computers_accessories,1062697.289999998
furniture_decor,904900.970000005
housewares,780538.4800000024
cool_stuff,719927.1300000015
auto,685842.0200000014
garden_tools,585603.2000000008
